Timestamp (ns),Timestamp2,I,Q
2024-11-17 11:03:08.349143065,.699,0.000853,-0.00051
2024-11-17 11:03:08.349143076,.532,-0.000166,-0.000686
2024-11-17 11:03:08.349143087,.365,0.000686,0.00103
2024-11-17 11:03:08.349143098,.198,-0.00137,0.00222
2024-11-17 11:03:08.349143109,.031,-0.00051,0.00154
2024-11-17 11:03:08.349143119,.864,0.00119,0.00257
2024-11-17 11:03:08.349143130,.697,-0.00051,0.000509
2024-11-17 11:03:08.349143141,.530,0.000509,-0.00051
2024-11-17 11:03:08.349143152,.363,-0.000509,0.00206
2024-11-17 11:03:08.349143163,.196,-0.000509,0.000343
2024-11-17 11:03:08.349143174,.029,-0.000343,0.0012
2024-11-17 11:03:08.349143184,.862,0.00051,-0.000343
2024-11-17 11:03:08.349143195,.695,-0.00051,-0.000509
2024-11-17 11:03:08.349143206,.528,-0.000853,-0.00171
2024-11-17 11:03:08.349143217,.361,0.00119,0.000509
2024-11-17 11:03:08.349143228,.194,0.000166,-0.000167
2024-11-17 11:03:08.349143239,.027,-0.00137,0.00154
2024-11-17 11:03:08.349143249,.860,-0.000343,-0.00154
2024-11-17 11:03:08.349143260,.693,0.00172,0.00103
2024-11-17 11:03:08.349143271,.526,0.000167,-0.000166
2024-11-17 11:03:08.349143282,.359,-0.000686,4.04e-07
2024-11-17 11:03:08.349143293,.192,0.000509,-0.000166
2024-11-17 11:03:08.349143304,.025,-0.00206,0.000167
2024-11-17 11:03:08.349143314,.858,0.000852,0.00103
2024-11-17 11:03:08.349143325,.691,-2.3e-07,-0.00051
2024-11-17 11:03:08.349143336,.524,-0.000509,-0.00051
2024-11-17 11:03:08.349143347,.357,0.00171,0.000166
2024-11-17 11:03:08.349143358,.190,0.000167,0.00171
2024-11-17 11:03:08.349143369,.023,-0.00103,0.000853
2024-11-17 11:03:08.349143379,.856,-0.000509,0.000167
2024-11-17 11:03:08.349143390,.689,-0.000167,-0.00137
2024-11-17 11:03:08.349143401,.522,-0.000343,0.000686
2024-11-17 11:03:08.349143412,.355,-0.00051,0.000686
2024-11-17 11:03:08.349143423,.188,-0.00051,0.00119
2024-11-17 11:03:08.349143434,.021,-0.000509,0.000852
2024-11-17 11:03:08.349143444,.854,3.63e-07,-0.000343
2024-11-17 11:03:08.349143455,.687,0.000343,-0.00137
2024-11-17 11:03:08.349143466,.520,-0.0012,-0.000343
2024-11-17 11:03:08.349143477,.353,-0.00137,0.000167
2024-11-17 11:03:08.349143488,.186,0.000343,0.000343
2024-11-17 11:03:08.349143499,.019,0.000166,-0.000509
2024-11-17 11:03:08.349143509,.852,0.000343,-2.47e-07
2024-11-17 11:03:08.349143520,.685,0.00103,-0.000686
2024-11-17 11:03:08.349143531,.518,1.98e-07,-0.00137
2024-11-17 11:03:08.349143542,.351,-0.00137,-0.000167
2024-11-17 11:03:08.349143553,.184,0.000853,0.000853
2024-11-17 11:03:08.349143564,.017,-0.000686,0.000343
2024-11-17 11:03:08.349143574,.850,0.000166,-0.00188
2024-11-17 11:03:08.349143585,.683,0.000852,-0.000343
2024-11-17 11:03:08.349143596,.516,-0.000686,-0.000167
2024-11-17 11:03:08.349143607,.349,-0.00051,-0.000343
2024-11-17 11:03:08.349143618,.182,-0.000852,0.000166
